"","Order","Family","Genus","Body_size_mm","Reproductive_output_y","Offspring_size_min_mm","Offspring_size_max_mm","Habitat","Diel","Breeding"
"5024","Anura","Ranidae","Rana"," 90.0000"," 1.00"," 2.10"," 2.10","Aqu","Noc","Lar"
"5032","Anura","Ranidae","Rana","100.0000"," 1.00"," 2.20"," 2.20","Aqu","Diu","Lar"
"5034","Anura","Ranidae","Rana"," 50.0000"," 1.00"," 3.20"," 3.20","Arb","Noc","Lar"
"5041","Anura","Ranidae","Rana","110.0000"," 1.00"," 1.70"," 3.00","Arb","Noc","Lar"
"5057","Anura","Ranixalidae","Indirana"," 45.0000"," 1.00"," 4.50"," 4.50","Aqu","Noc","Lar"
"5062","Anura","Rhacophoridae","Buergeria"," 76.0000"," 1.00"," 2.00"," 2.80","Arb","Noc","Lar"
"5073","Anura","Rhacophoridae","Chiromantis"," 53.0000"," 1.00"," 1.00"," 1.00","Arb","Noc","Lar"
"5081","Anura","Rhacophoridae","Chiromantis"," 90.0000"," 1.00"," 1.80"," 2.00","Arb","Noc","Lar"
"5096","Anura","Rhacophoridae","Kurixalus"," 44.0000"," 1.00"," 1.90"," 3.00","Arb","Noc","Lar"
"5138","Anura","Rhacophoridae","Philautus"," 37.0000"," 1.00"," 1.00"," 3.00","Arb","Noc","Dir"
"5325","Anura","Rhacophoridae","Rhacophorus"," 81.6000"," 1.00"," 3.00"," 3.00","Arb","Diu","Lar"
"5339","Anura","Rhacophoridae","Rhacophorus"," 80.0000"," 1.00"," 3.30"," 3.30","Arb","Noc","Lar"
"5383","Anura","Rhinophrynidae","Rhinophrynus"," 89.0000"," 1.00"," 4.50"," 4.50","Fos","Noc","Lar"
"5384","Anura","Scaphiopodidae","Scaphiopus"," 80.0000"," 1.00"," 1.50"," 1.50","Aqu","Noc","Lar"
"5385","Anura","Scaphiopodidae","Scaphiopus"," 71.0000"," 1.00"," 1.70"," 1.70","Aqu","Noc","Lar"
"5386","Anura","Scaphiopodidae","Scaphiopus"," 83.0000"," 1.00"," 2.30"," 2.30","Aqu","Noc","Lar"
"5388","Anura","Scaphiopodidae","Spea"," 61.0000"," 1.00"," 1.60"," 1.60","Arb","Noc","Lar"
"5441","Anura","Strabomantidae","Psychrophrynella"," 33.4000"," 1.00"," 5.00"," 5.00","Ter","Noc","Dir"
"5457","Anura","Strabomantidae","Hypodactylus"," 30.5000"," 1.00"," 2.50"," 2.50","Ter","Noc","Dir"
"5475","Anura","Strabomantidae","Oreobates"," 63.0000"," 1.00"," 4.00"," 4.10","Aqu","Noc","Dir"
"5511","Anura","Strabomantidae","Pristimantis"," 34.0000"," 1.00"," 2.40"," 2.40","Arb","Crepu","Dir"
"5521","Anura","Strabomantidae","Pristimantis"," 34.0000"," 1.00"," 2.30"," 3.10","Arb","Noc","Dir"
"5592","Anura","Strabomantidae","Pristimantis"," 49.0000"," 1.00"," 3.90"," 3.90","Arb","Noc","Dir"
"5619","Anura","Strabomantidae","Pristimantis","108.0000"," 1.00"," 3.00"," 3.90","Arb","Noc","Dir"
"5644","Anura","Strabomantidae","Pristimantis"," 55.0000"," 2.00"," 2.50"," 2.50","Arb","Noc","Dir"
"5694","Anura","Strabomantidae","Pristimantis"," 34.0000"," 1.00"," 2.50"," 4.50","Arb","Noc","Dir"
"5696","Anura","Strabomantidae","Pristimantis"," 46.0000"," 1.00"," 3.20"," 3.20","Arb","Noc","Dir"
"5700","Anura","Strabomantidae","Pristimantis"," 53.4000"," 1.00"," 2.40"," 2.40","Arb","Noc","Dir"
"5727","Anura","Strabomantidae","Pristimantis"," 25.0000"," 1.00"," 2.00"," 3.70","Arb","Noc","Dir"
"5758","Anura","Strabomantidae","Pristimantis"," 29.5000"," 1.00"," 2.80"," 3.50","Arb","Noc","Dir"
"5780","Anura","Strabomantidae","Pristimantis"," 21.0000"," 1.00"," 2.00"," 2.00","Arb","Noc","Dir"
"5788","Anura","Strabomantidae","Pristimantis"," 46.0000"," 1.00"," 3.50"," 3.50","Arb","Noc","Dir"
"5809","Anura","Strabomantidae","Pristimantis"," 23.0000"," 1.00"," 3.00"," 3.50","Arb","Noc","Dir"
"5817","Anura","Strabomantidae","Pristimantis"," 31.2000"," 1.00"," 3.00"," 3.00","Arb","Noc","Dir"
"5880","Anura","Strabomantidae","Pristimantis"," 54.0000"," 1.00"," 2.50"," 2.50","Arb","Noc","Dir"
"5912","Anura","Strabomantidae","Pristimantis"," 27.0000"," 1.00"," 3.00"," 4.00","Ter","Noc","Dir"
"5945","Anura","Strabomantidae","Strabomantis","100.0000"," 1.00"," 8.40"," 8.40","Ter","Noc","Dir"
"5957","Anura","Strabomantidae","Strabomantis"," 59.7000"," 1.00"," 2.50"," 2.50","Ter","Noc","Dir"
"5985","Caudata","Ambystomatidae","Ambystoma","210.0000"," 1.00"," 2.00"," 2.50","Arb","Diu","Lar"
"5991","Caudata","Ambystomatidae","Ambystoma","248.0000"," 1.00"," 2.00"," 2.80","Aqu","Diu","Lar"
"6000","Caudata","Ambystomatidae","Ambystoma","122.0000"," 1.00"," 4.00"," 4.00","Aqu","Diu","Lar"
"6071","Caudata","Plethodontidae","Batrachoseps","120.0000"," 1.00"," 4.00"," 5.00","Aqu","Noc","Dir"
"6354","Caudata","Plethodontidae","Aneides","140.0000"," 2.00"," 4.50"," 4.50","Arb","Noc","Dir"
"6362","Caudata","Plethodontidae","Atylodes","115.0000"," 1.00"," 5.50"," 5.50","Ter","Noc","Dir"
"6372","Caudata","Plethodontidae","Desmognathus"," 87.0000"," 1.00"," 3.50"," 3.50","Aqu","Noc","Lar"
"6412","Caudata","Plethodontidae","Plethodon","184.0000"," 1.00"," 4.00"," 5.00","Aqu","Noc","Dir"
"6418","Caudata","Plethodontidae","Plethodon","137.0000"," 1.00"," 4.00"," 5.00","Arb","Diu","Dir"
"6424","Caudata","Plethodontidae","Plethodon","159.0000"," 1.00"," 4.00"," 5.00","Aqu","Diu","Dir"
"6426","Caudata","Plethodontidae","Plethodon","171.0000"," 1.00"," 4.00"," 5.00","Aqu","Noc","Dir"
"6427","Caudata","Plethodontidae","Plethodon","143.0000"," 1.00"," 4.00"," 5.00","Aqu","Noc","Dir"
"6435","Caudata","Plethodontidae","Plethodon","180.0000"," 1.00"," 4.00"," 5.00","Aqu","Noc","Dir"
"6445","Caudata","Plethodontidae","Speleomantes","125.0000"," 1.00"," 5.00"," 5.00","Aqu","Noc","Dir"
"6446","Caudata","Plethodontidae","Speleomantes","150.0000"," 1.00"," 6.50"," 6.50","Ter","Noc","Dir"
"6447","Caudata","Plethodontidae","Speleomantes","125.0000"," 1.00"," 6.50"," 6.50","Aqu","Noc","Dir"
"6448","Caudata","Plethodontidae","Speleomantes","125.0000"," 1.00"," 6.50"," 6.50","Aqu","Noc","Dir"
"6450","Caudata","Plethodontidae","Speleomantes"," 63.5875"," 1.00"," 6.50"," 6.50","Aqu","Noc","Dir"
"6451","Caudata","Plethodontidae","Speleomantes","135.0000"," 1.00"," 6.50"," 6.50","Aqu","Noc","Dir"
"6460","Caudata","Plethodontidae","Eurycea","200.0000"," 1.00"," 2.50"," 3.00","Aqu","Noc","Lar"
"6467","Caudata","Plethodontidae","Eurycea"," 90.0000"," 1.00"," 1.80"," 1.80","Aqu","Diu","Lar"
"6491","Caudata","Proteidae","Necturus","486.0000"," 1.00"," 5.00"," 6.00","Aqu","Noc","Lar"
"6493","Caudata","Proteidae","Proteus","250.0000"," 0.08"," 4.00"," 5.00","Aqu","Noc","Lar"
"6499","Caudata","Salamandridae","Calotriton","160.0000"," 1.00"," 3.50"," 5.00","Aqu","Noc","Lar"
"6503","Caudata","Salamandridae","Echinotriton","140.0000"," 1.00"," 3.20"," 3.80","Arb","Noc","Lar"
"6504","Caudata","Salamandridae","Euproctus","130.0000"," 1.00"," 2.50"," 2.50","Aqu","Noc","Lar"
"6505","Caudata","Salamandridae","Euproctus","150.0000"," 1.00"," 3.00"," 3.00","Aqu","Diu","Lar"
"6514","Caudata","Salamandridae","Lissotriton","100.0000"," 1.00"," 2.00"," 2.00","Aqu","Noc","Lar"
"6516","Caudata","Salamandridae","Lissotriton"," 95.0000"," 1.00"," 1.50"," 1.50","Aqu","Noc","Lar"
"6517","Caudata","Salamandridae","Lissotriton"," 80.0000"," 1.00"," 1.50"," 1.50","Ter","Noc","Lar"
"6523","Caudata","Salamandridae","Lissotriton","110.0000"," 1.00"," 1.50"," 1.50","Ter","Noc","Lar"
"6542","Caudata","Salamandridae","Paramesotriton","143.0000"," 1.00"," 2.90"," 2.90","Aqu","Noc","Lar"
"6548","Caudata","Salamandridae","Pleurodeles","300.0000"," 1.00"," 1.70"," 2.00","Aqu","Noc","Lar"
"6554","Caudata","Salamandridae","Triturus","150.0000"," 1.00"," 2.00"," 2.00","Aqu","Noc","Lar"
"6555","Caudata","Salamandridae","Triturus","150.0000"," 1.00"," 2.00"," 2.00","Aqu","Noc","Lar"
"6557","Caudata","Salamandridae","Triturus","160.0000"," 1.00"," 1.90"," 1.90","Ter","Noc","Lar"
"6559","Caudata","Salamandridae","Triturus","160.0000"," 1.00"," 2.00"," 2.00","Aqu","Noc","Lar"
"6563","Caudata","Salamandridae","Tylototriton","210.0000"," 1.00"," 2.30"," 3.40","Aqu","Crepu","Lar"
"6566","Caudata","Salamandridae","Tylototriton","165.0000"," 1.00"," 2.50"," 2.50","Aqu","Noc","Lar"
"6569","Caudata","Salamandridae","Chioglossa","160.0000"," 1.00"," 5.00"," 5.00","Aqu","Noc","Lar"
"6575","Caudata","Salamandridae","Lyciasalamandra","140.0000"," 1.00"," 5.00"," 5.00","Aqu","Noc","Viv"
"6576","Caudata","Salamandridae","Lyciasalamandra","181.0000"," 1.00"," 7.00"," 7.00","Aqu","Noc","Viv"
"6578","Caudata","Salamandridae","Salamandra","226.0000"," 1.00"," 3.10"," 4.40","Aqu","Noc","Viv"
"6585","Caudata","Salamandridae","Salamandrina"," 85.0000"," 1.00"," 1.50"," 3.70","Ter","Crepu","Lar"
"6586","Caudata","Salamandridae","Salamandrina","115.0000"," 1.00"," 1.50"," 1.80","Aqu","Noc","Lar"
"6596","Gymnophiona","Caeciliidae","Boulengerula","420.0000"," 1.00"," 2.00"," 5.00","Aqu","Noc","Dir"
"6659","Gymnophiona","Caeciliidae","Gymnopis","480.0000"," 0.50"," 2.00"," 2.00","Aqu","Noc","Viv"
"6691","Gymnophiona","Caeciliidae","Siphonops","454.0000"," 1.00"," 8.00","10.00","Aqu","Noc","Dir"
"6714","Gymnophiona","Caeciliidae","Typhlonectes","800.0000"," 1.00"," 3.00","25.00","Aqu","Noc","Viv"
